SA,ZA,ZEE,ZB,ZC,ZD,ZE,ZF,ZH,ZJ,ZL,OAJ,ZX,ZHS,ZCC,TSS,ZAF,AA,AD,ADE,AB,CR,AC,CX,RW,AX,AO,BW,BX,WL,WM,PX,AE,FH,JA,WU,AS,AZ,GRA,CA,FU,CY,CC,AG,AT,BA,BC,BE,OA,WN,PY,AF,FK,JB,WV,GRB,CB,FV,AH,AU,BB,BD,BF,OB,FJ,GA,FW,FL,GB,FX,ZO,ZG,QA,QB,QC,A1
,,,,,,,,,,,,,,,,,8G3dxdTg,1777214700,1777214700,3,3,3,Nakanishi K.,0,0,1777217389,0,-1,,ERC,Yo9RM3l4/hjUjTtcl,Iwanaga R./Nakanishi K.,Iwanaga R.,4SAT0D2T,iwanaga-rin,1,1,0,100,Japan,100/100,Japan,2,2,21,21,,dOtsjZiT-xj6MtOys.png;6a1lrA8k-YBpf89EH.png,BEK,A7Id6ieH/8tLxj8Rb,Bektas Y./Ercetin B.,Bektas Y.,zB1aeiQj,bektas-yasemen,0,191,Turkey,0,0,13,14,,women;women,Nakanishi K.,100,Japan,Ercetin B.,191,Turkey,,,,,,
,,,,,,,,,,,,,,,,,EXdbdHKP,1777220400,1777220400,3,3,3,Matsumoto M.,0,0,1777221784,0,-1,,YIL,0GNG1veD/vD9ssa0H,Igarashi A./Matsumoto M.,Igarashi A.,Chfv8U9d,igarashi-arisa,1,1,0,100,Japan,100/100,Japan,2,2,21,21,,nyxyKXS0-A7M8whFF.png;WtkTjEoe-tdjJICH6.png,OZY,2B9guLRj/QohmrQrh,Ozyigit I. E./Yildiz S.,Ozyigit I. E.,vanQVX13,ozyigit-ikra-elif,0,191,Turkey,0,0,6,7,,women;women,Matsumoto M.,100,Japan,Yildiz S.,191,Turkey,,,,,,
,,,,,,,,,,,,,,,,,Ae8DxIzq,1777224600,1777224600,3,3,3,Hung E-T.,0,0,1777226261,0,-1,,ZHA,pnIds2sn/U5U3R0ah,Hsieh P. S./Hung E-T.,Hsieh P. S.,IuhhD8T1,hsieh-pei-shan,1,1,0,218,Taiwan,218/218,Taiwan,2,2,21,21,,AFjg5fSq-M3H94fM3.png;zkr63DSq-6RB3nAhU.png,WU,I17Rijdl/f9mzAmjk,Wu J./Zhang E.,Wu J.,AZvvyCL8,wu-josephine,0,47,Canada,0,0,8,12,,xI4BLVne-b7NQfNpb.png;CCYmXqDN-d8IhtbHi.png,Hung E-T.,218,Taiwan,Zhang E.,47,Canada,,,,,,
,,,,,,,,,,,,,,,,,2qdgtNXI,1777135200,1777135200,3,3,3,Japan,0,0,1777149589,0,-1,,JPN,2oe6CFRL,Japan,Japan,CQ1QbAP8,japan,1,1,0,,,,,5,5,,,,QJy9HOS0-AixrR4x7.png,FIN,Oly5WdUl,Finland,Finland,dGOct29s,finland,0,,,0,0,,,,M1ikDcT0-GntWT6hl.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,YqEwMboB,1777185000,1777185000,3,3,3,France,0,0,1777195653,0,-1,,FRA,2uz9VGqe,France,France,Ob4KUPBL,france,1,1,0,,,,,5,5,,,,MgLHF57k-GntWT6hl.png,ALG,CW2xqknC,Algeria,Algeria,KUkjP3Zr,algeria,0,,,0,0,,,,Iq7iCMRq-U9UkzXjf.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,tAHoKxGN,1777185000,1777185000,3,3,3,Indonesia,0,0,1777207937,0,-1,,IND,lOljGcSd,Indonesia,Indonesia,6olbNs4e,indonesia,1,1,0,,,,,3,3,,,,tnIPolXH-YTwvSpN0.png,THA,pfIIBZtS,Thailand,Thailand,EBi6LLY7,thailand,0,,,2,2,,,,6FMCzJiT-AixrR4x7.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,xGXkBsXh,1777225500,1777225500,3,3,3,Denmark,0,0,1777238765,0,-1,,DEN,tOMMxaiL,Denmark,Denmark,4b9t0E6U,denmark,1,1,0,,,,,4,4,,,,vuwBtASq-Cz52VBFi.png,SWE,ETGQdZSm,Sweden,Sweden,KAqjKHin,sweden,0,,,1,1,,,,ALzGCEjT-4zPjvKyp.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,z7wjGTEk,1777135200,1777135200,3,3,3,India W,0,0,1777149596,0,-1,,IND,lSUlREtF,India W,India W,ULGGW6b6,india,1,1,0,,,,,4,4,,,,fPlafxne-AixrR4x7.png,UKR,xtVLtIxU,Ukraine W,Ukraine W,2ZEOUpTI,ukraine,0,,,1,1,,,,GWxXXCQq-pd77sQMm.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,rXtbE7q2,1777137300,1777137300,3,3,3,China W,0,0,1777151580,0,-1,,CHI,8GDiSfR8,China W,China W,Uu7AhlLP,china,1,1,0,,,,,5,5,,,,GbBXvrUH-AixrR4x7.png,DEN,23MJYVmr,Denmark W,Denmark W,bectmSrm,denmark,0,,,0,0,,,,OnHYizlC-xISktTT9.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,GKwG8rCm,1777185000,1777185000,3,3,3,Thailand W,0,0,1777200501,0,-1,,THA,OYWuJjle,Thailand W,Thailand W,SlfVRxEU,thailand,1,1,0,,,,,5,5,,,,Wt2ZjyA6-4dMymnaQ.png,SPA,vZrzX9If,Spain W,Spain W,r1Uvntan,spain,0,,,0,0,,,,0nFPTlT0-4dMymnaQ.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Y3KwRpT7,1777197600,1777197600,3,3,3,Malaysia W,0,0,1777207029,0,-1,,MAL,SIThQYeL,Malaysia W,Malaysia W,ngBf1I3c,malaysia,1,1,0,,,,,5,5,,,,voIRdpQq-lrynQOiD.png,SOU,Kvo8YO0r,South Africa W,South Africa W,K692adY9,south-africa,0,,,0,0,,,,4pRmnOA6-lpOlJAuM.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,OpsO6Mt0,1777201200,1777201200,3,3,3,South Korea W,0,0,1777213873,0,-1,,KOR,2m8KXrGl,South Korea W,South Korea W,jRXnpKTb,south-korea,1,1,0,,,,,5,5,,,,dC5St2oe-lpOlJAuM.png,BUL,2w3QUKwI,Bulgaria W,Bulgaria W,dOzerbbB,bulgaria,0,,,0,0,,,,IgOrXlQq-6583r67s.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,bsCPllLE,1777208400,1777208400,3,3,3,Japan W,0,0,1777224462,0,-1,,JPN,ldtquYAE,Japan W,Japan W,SWCAcz3M,japan,1,1,0,,,,,4,4,,,,WrcgwbjT-4dMymnaQ.png,TUR,dQL7lO2H,Turkey W,Turkey W,bF3thEQq,turkey,0,,,1,1,,,,x0OMWble-SCC5WVgh.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,67ezd5Ss,1777221000,1777221000,3,3,3,Chinese T. W,0,0,1777238253,0,-1,,CHI,MuTdPhBR,Chinese T. W,Chinese T. W,WQx9F8O7,chinese-taipei,1,1,0,,,,,3,3,,,,6iIUFvkC-lrynQOiD.png,CAN,zJLUYQ3g,Canada W,Canada W,bXUfwCGE,canada,0,,,2,2,,,,K6CpdfS0-Ii2NwrMC.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,zP441R4K,1777221000,1777221000,3,3,3,Indonesia W,0,0,1777234073,0,-1,,IND,h8ypIA31,Indonesia W,Indonesia W,CdtgJjPr,indonesia,1,1,0,,,,,5,5,,,,fkf06VRq-4dMymnaQ.png,AUS,EXrGl63t,Australia W,Australia W,pAv1HUge,australia,0,,,0,0,,,,IBycRsXH-dr1Rx2yJ.png,,,,,,,,,,,,
