SA,ZA,ZEE,ZB,ZC,ZD,ZE,ZF,ZH,ZJ,ZL,OAJ,ZX,ZHS,ZCC,TSS,ZAF,AA,AD,ADE,AB,CR,AC,CX,RW,AX,AO,BW,BX,WL,WM,PX,AE,FH,JA,WU,AS,AZ,GRA,CA,FU,CY,CC,AG,AT,BA,BC,BE,OA,WN,PY,AF,FK,JB,WV,GRB,CB,FV,AH,AU,BB,BD,BF,OB,FJ,GA,FW,FL,GB,FX,ZO,ZG,QA,QB,QC,A1
,,,,,,,,,,,,,,,,,OrnYtxWq,1777129800,1777129800,3,3,3,Ramadhanti S. F. S.,0,0,1777131787,0,-1,,WU,xMMfdJ0q/M3Xgakqj,Pratiwi A. C./Ramadhanti S. F. S.,Pratiwi A. C.,GrKkcxHb,pratiwi-amalia-cahaya,1,1,0,228,Indonesia,228/228,Indonesia,2,2,21,21,,8MKaSZUH-E7cObKTt.png;h6ILtSlC-Y34kI6XT.png,CHO,f9mzAmjk/xSJvJgXl,Choi C./Wu J.,Choi C.,O8NceGoB,choi-catherine,0,47,Canada,0,0,18,11,,women;xI4BLVne-b7NQfNpb.png,Ramadhanti S. F. S.,228,Indonesia,Wu J.,47,Canada,,,,,,
,,,,,,,,,,,,,,,,,EwfYh0HO,1777048200,1777048200,3,3,3,Denmark,0,0,1777069791,0,-1,,DEN,tOMMxaiL,Denmark,Denmark,Ac1A7v8t,denmark,1,1,0,,,,,4,4,,,,vuwBtASq-Cz52VBFi.png,KOR,b1bg5XJe,South Korea,South Korea,IN4I5Ixg,south-korea,0,,,1,1,,,,W46HBFCN-AixrR4x7.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,nTFVNKGb,1777048200,1777048200,3,3,3,Indonesia,0,0,1777058705,0,-1,,IND,lOljGcSd,Indonesia,Indonesia,lS8Q8rk2,indonesia,1,1,0,,,,,5,5,,,,tnIPolXH-YTwvSpN0.png,ALG,CW2xqknC,Algeria,Algeria,GY0CWos9,algeria,0,,,0,0,,,,Iq7iCMRq-U9UkzXjf.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,UkUsD32t,1777098600,1777098600,3,3,3,Chinese T.,0,0,1777113237,0,-1,,CHI,Ucrehfzj,Chinese T.,Chinese T.,jy3Q3d75,chinese-taipei,1,1,0,,,,,5,5,,,,WjLeDajC-YTwvSpN0.png,SWE,ETGQdZSm,Sweden,Sweden,b16Y1zxI,sweden,0,,,0,0,,,,ALzGCEjT-4zPjvKyp.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,UVcorq36,1777114500,1777114500,3,3,3,Malaysia,0,0,1777128839,0,-1,,MAL,C42c4iZ1,Malaysia,Malaysia,C6BWxT2k,malaysia,1,1,0,,,,,3,3,,,,fDbrR9U0-AixrR4x7.png,ENG,OnCRyJ6R,England,England,KWEvy7X1,england,0,,,2,2,,,,GptDv9ne-xdsSUnwr.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2qdgtNXI,1777135200,1777135200,3,3,3,Japan,0,0,1777149589,0,-1,,JPN,2oe6CFRL,Japan,Japan,CQ1QbAP8,japan,1,1,0,,,,,5,5,,,,QJy9HOS0-AixrR4x7.png,FIN,Oly5WdUl,Finland,Finland,dGOct29s,finland,0,,,0,0,,,,M1ikDcT0-GntWT6hl.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pxmpE4lQ,1777048200,1777048200,3,3,3,Thailand W,0,0,1777064638,0,-1,,THA,OYWuJjle,Thailand W,Thailand W,ncwGVKE5,thailand,1,1,0,,,,,3,3,,,,Wt2ZjyA6-4dMymnaQ.png,BUL,2w3QUKwI,Bulgaria W,Bulgaria W,KOjNTbqI,bulgaria,0,,,2,2,,,,IgOrXlQq-6583r67s.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,hQINUSTr,1777098600,1777098600,3,3,3,Japan W,0,0,1777108085,0,-1,,JPN,ldtquYAE,Japan W,Japan W,AgRMnJl4,japan,1,1,0,,,,,5,5,,,,WrcgwbjT-4dMymnaQ.png,SOU,Kvo8YO0r,South Africa W,South Africa W,IJUUpcJG,south-africa,0,,,0,0,,,,4pRmnOA6-lpOlJAuM.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,QwHVS6be,1777098600,1777098600,3,3,3,Malaysia W,0,0,1777118249,0,-1,,MAL,SIThQYeL,Malaysia W,Malaysia W,jXSxqylT,malaysia,1,1,0,,,,,3,3,,,,voIRdpQq-lrynQOiD.png,TUR,dQL7lO2H,Turkey W,Turkey W,MFJ8wFBj,turkey,0,,,2,2,,,,x0OMWble-SCC5WVgh.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,A34Bupr1,1777111200,1777111200,3,3,3,Chinese T. W,0,0,1777122861,0,-1,,CHI,MuTdPhBR,Chinese T. W,Chinese T. W,lnsM4iAk,chinese-taipei,1,1,0,,,,,5,5,,,,6iIUFvkC-lrynQOiD.png,AUS,EXrGl63t,Australia W,Australia W,tfaT2Vv2,australia,0,,,0,0,,,,IBycRsXH-dr1Rx2yJ.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,rH2JwOCD,1777119600,1777119600,3,3,3,Indonesia W,0,0,1777136169,0,-1,,IND,h8ypIA31,Indonesia W,Indonesia W,YmnFQYW8,indonesia,1,1,0,,,,,3,3,,,,fkf06VRq-4dMymnaQ.png,CAN,zJLUYQ3g,Canada W,Canada W,tEkNOC1L,canada,0,,,2,2,,,,K6CpdfS0-Ii2NwrMC.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,z7wjGTEk,1777135200,1777135200,3,3,3,India W,0,0,1777149596,0,-1,,IND,lSUlREtF,India W,India W,ULGGW6b6,india,1,1,0,,,,,4,4,,,,fPlafxne-AixrR4x7.png,UKR,xtVLtIxU,Ukraine W,Ukraine W,2ZEOUpTI,ukraine,0,,,1,1,,,,GWxXXCQq-pd77sQMm.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,rXtbE7q2,1777137300,1777137300,3,3,3,China W,0,0,1777151580,0,-1,,CHI,8GDiSfR8,China W,China W,Uu7AhlLP,china,1,1,0,,,,,5,5,,,,GbBXvrUH-AixrR4x7.png,DEN,23MJYVmr,Denmark W,Denmark W,bectmSrm,denmark,0,,,0,0,,,,OnHYizlC-xISktTT9.png,,,,,,,,,,,,
