SA,ZA,ZEE,ZB,ZC,ZD,ZE,ZF,ZH,ZJ,ZL,OAJ,ZX,ZHS,ZCC,TSS,ZAF,AA,AD,ADE,AB,CR,AC,CX,RW,AX,AO,BW,BX,WL,WM,PX,AE,FH,JA,WU,AS,AZ,GRA,CA,FU,CY,CC,AG,AT,BA,BC,OA,WN,PY,AF,FK,JB,WV,GRB,CB,FV,AH,AU,BB,BD,OB,BE,BF,FJ,GA,FW,FL,GB,FX,ZO,ZG,QA,QB,QC,A1
,,,,,,,,,,,,,,,,,dC6Lzd5e,1777231200,1777231200,3,3,3,Sung Y.,0,0,1777235215,0,-1,,LAI,AThsuUHu/bN2voBjF,Hsu Y. H./Sung Y.,Hsu Y. H.,djwnZkjL,hsu-yin-hui,2,2,0,218,Taiwan,218/218,Taiwan,1,1,19,21,f1L1iKne-xrbb8jmU.png;04NfFoUH-tKxOvxeM.png,CHO,Y9VV9pP4/xSJvJgXl,Choi C./Lai C.,Choi C.,SYTHTTDr,choi-catherine,0,47,Canada,2,2,21,19,women;fLXkh1AN-dvDJI3dn.png,14,21,Sung Y.,218,Taiwan,Lai C.,47,Canada,,,,,,
,,,,,,,,,,,,,,,,,dWdFdwSE,1777232100,1777232100,3,3,3,Rose R. A.,0,0,1777233865,0,-1,,TJO,YymFiREU/jsxHTffB,Kusuma F. D./Rose R. A.,Kusuma F. D.,YkNJmk5E,kusuma-febriana-dwipuji,1,1,0,228,Indonesia,228/228,Indonesia,2,2,21,21,IyWn4hT0-h0y6QEXR.png;MwSeXE8k-lWEoXvot.png,CAR,6BjmfIs5/t0DTQ2DT,Carrisia J./Tjonadi V.,Carrisia J.,4xpiVtkm,carrisia-jesslyn,0,24,Australia,0,0,7,12,women;h2jidT7k-U7PZ4zKm.png,,,Rose R. A.,228,Indonesia,Tjonadi V.,24,Australia,,,,,,
,,,,,,,,,,,,,,,,,x4XNSF3s,1777297800,1777297800,3,3,3,Matsumoto M.,0,0,1777300086,0,-1,,MUR,0GNG1veD/b3wahcwt,Fukushima Y./Matsumoto M.,Fukushima Y.,Oxi6lCQ8,fukushima-yuki,1,1,0,100,Japan,100/100,Japan,2,2,21,21,ChGFNoU0-25iFJh20.png;WtkTjEoe-tdjJICH6.png,ONG,KGCWADjm/Ao0Yt87T,Ong X. Y./Muralitharan T.,Ong X. Y.,UZgEnjeL,ong-xin-yee,0,121,Malaysia,0,0,9,9,AsqWOrVH-6HWMvxZd.png;AwicOOkC-jLI7QBOs.png,,,Matsumoto M.,100,Japan,Muralitharan T.,121,Malaysia,,,,,,
,,,,,,,,,,,,,,,,,YX5joOJ8,1777303800,1777303800,3,3,3,Nakanishi K.,0,0,1777307813,0,-1,,MAI,Yo9RM3l4/hjUjTtcl,Iwanaga R./Nakanishi K.,Iwanaga R.,OI0CSU3k,iwanaga-rin,2,2,0,100,Japan,100/100,Japan,1,1,17,21,dOtsjZiT-xj6MtOys.png;6a1lrA8k-YBpf89EH.png,LOW,zcF4uIu9/Srrjyp5U,Low Z. Y./Maisarah N.,Low Z. Y.,dWbKQ8Y1,low-zi-yu,0,121,Malaysia,2,2,21,12,women;women,19,21,Nakanishi K.,100,Japan,Maisarah N.,121,Malaysia,,,,,,
,,,,,,,,,,,,,,,,,xGXkBsXh,1777225500,1777225500,3,3,3,Denmark,0,0,1777238765,0,-1,,DEN,tOMMxaiL,Denmark,Denmark,4b9t0E6U,denmark,1,1,0,,,,,4,4,,,vuwBtASq-Cz52VBFi.png,SWE,ETGQdZSm,Sweden,Sweden,KAqjKHin,sweden,0,,,1,1,,,ALzGCEjT-4zPjvKyp.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pMUc4ZJ8,1777272000,1777272000,3,3,3,China,0,0,1777283176,0,-1,,CHI,zyqigzLq,China,China,WAxLVBeM,china,1,1,0,,,,,4,4,,,hMBSAiCN-YTwvSpN0.png,CAN,nZ0DIPYI,Canada,Canada,2gTjQkJq,canada,0,,,1,1,,,Mg3c7P7k-v13JvO66.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,rDzb9L15,1777272000,1777272000,3,3,3,Chinese T.,0,0,1777293535,0,-1,,CHI,Ucrehfzj,Chinese T.,Chinese T.,SzmbIeMb,chinese-taipei,2,2,0,,,,,2,2,,,WjLeDajC-YTwvSpN0.png,KOR,b1bg5XJe,South Korea,South Korea,z1j6GZjB,south-korea,0,,,3,3,,,W46HBFCN-AixrR4x7.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,IFxCtWR1,1777272000,1777272000,3,3,3,India,0,0,1777284185,0,-1,,IND,SEmfFHs3,India,India,QVQ5Zgdc,india,1,1,0,,,,,5,5,,,0Ui4tS76-YTwvSpN0.png,AUS,rLtjt9BJ,Australia,Australia,bqPDXXQ9,australia,0,,,0,0,,,2kl1QJWH-Ii2NwrMC.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0YvBb4mm,1777284600,1777284600,3,3,3,Japan,0,0,1777299475,0,-1,,JPN,2oe6CFRL,Japan,Japan,pKTLzbwJ,japan,1,1,0,,,,,5,5,,,QJy9HOS0-AixrR4x7.png,ENG,OnCRyJ6R,England,England,d8z7b1VP,england,0,,,0,0,,,GptDv9ne-xdsSUnwr.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Uklu4QPP,1777284900,1777284900,3,3,3,Malaysia,0,0,1777297131,0,-1,,MAL,C42c4iZ1,Malaysia,Malaysia,4tS5vtvf,malaysia,1,1,0,,,,,4,4,,,fDbrR9U0-AixrR4x7.png,FIN,Oly5WdUl,Finland,Finland,xfQDxK86,finland,0,,,1,1,,,M1ikDcT0-GntWT6hl.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,67ezd5Ss,1777221000,1777221000,3,3,3,Chinese T. W,0,0,1777238253,0,-1,,CHI,MuTdPhBR,Chinese T. W,Chinese T. W,WQx9F8O7,chinese-taipei,1,1,0,,,,,3,3,,,6iIUFvkC-lrynQOiD.png,CAN,zJLUYQ3g,Canada W,Canada W,bXUfwCGE,canada,0,,,2,2,,,K6CpdfS0-Ii2NwrMC.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,zP441R4K,1777221000,1777221000,3,3,3,Indonesia W,0,0,1777234073,0,-1,,IND,h8ypIA31,Indonesia W,Indonesia W,CdtgJjPr,indonesia,1,1,0,,,,,5,5,,,fkf06VRq-4dMymnaQ.png,AUS,EXrGl63t,Australia W,Australia W,pAv1HUge,australia,0,,,0,0,,,IBycRsXH-dr1Rx2yJ.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,WfAXnSkR,1777294800,1777294800,3,3,3,Japan W,0,0,1777310248,0,-1,,JPN,ldtquYAE,Japan W,Japan W,WS1ljhed,japan,1,1,0,,,,,4,4,,,WrcgwbjT-4dMymnaQ.png,MAL,SIThQYeL,Malaysia W,Malaysia W,xQlzEem3,malaysia,0,,,1,1,,,voIRdpQq-lrynQOiD.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,zRTqxBy9,1777308000,1777308000,3,3,3,Denmark W,0,0,1777320820,0,-1,,DEN,23MJYVmr,Denmark W,Denmark W,W8elo6Da,denmark,1,1,0,,,,,4,4,,,OnHYizlC-xISktTT9.png,UKR,xtVLtIxU,Ukraine W,Ukraine W,vZbdqprC,ukraine,0,,,1,1,,,GWxXXCQq-pd77sQMm.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2w13s6Dl,1777308000,1777308000,3,3,3,Turkey W,0,0,1777317589,0,-1,,TUR,dQL7lO2H,Turkey W,Turkey W,pjhrCZHF,turkey,1,1,0,,,,,5,5,,,x0OMWble-SCC5WVgh.png,SOU,Kvo8YO0r,South Africa W,South Africa W,I3jjADnS,south-africa,0,,,0,0,,,4pRmnOA6-lpOlJAuM.png,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,MsSizk6L,1777311600,1777311600,3,3,3,China W,0,0,1777330523,0,-1,,CHI,8GDiSfR8,China W,China W,pYQTQySp,china,1,1,0,,,,,5,5,,,GbBXvrUH-AixrR4x7.png,IND,lSUlREtF,India W,India W,xSDFluKi,india,0,,,0,0,,,fPlafxne-AixrR4x7.png,,,,,,,,,,,,,,
